CURSE_WORDS,Category
fuks,Sexual Anatomy/Sexual Acts
fuku,Sexual Anatomy/Sexual Acts
fukwhore,Sexual Anatomy/Sexual Acts
funbags,Sexual Anatomy/Sexual Acts
fuq,Sexual Anatomy/Sexual Acts
futhamucka,Sexual Anatomy/Sexual Acts
fux,Sexual Anatomy/Sexual Acts
fux0r,Sexual Anatomy/Sexual Acts
fvck,Sexual Anatomy/Sexual Acts
fvck you,Sexual Anatomy/Sexual Acts
fvcka,Sexual Anatomy/Sexual Acts
fvckbunny,Sexual Anatomy/Sexual Acts
fvcker,Sexual Anatomy/Sexual Acts
fvckers,Sexual Anatomy/Sexual Acts
fvckin,Sexual Anatomy/Sexual Acts
fvcking,Sexual Anatomy/Sexual Acts
fvckker bunny,Sexual Anatomy/Sexual Acts
fvckwhi,Sexual Anatomy/Sexual Acts
fxck,Sexual Anatomy/Sexual Acts
fxcked,Sexual Anatomy/Sexual Acts
fxcker,Sexual Anatomy/Sexual Acts
fxcking,Sexual Anatomy/Sexual Acts
gash-stabber,Sexual Anatomy/Sexual Acts
get fucked,Sexual Anatomy/Sexual Acts
gin jockey,Sexual Anatomy/Sexual Acts
girly bits,Sexual Anatomy/Sexual Acts
go fuck yourself,Sexual Anatomy/Sexual Acts
goddamn mothafuckers,Sexual Anatomy/Sexual Acts
groper,Sexual Anatomy/Sexual Acts
harry palms,Sexual Anatomy/Sexual Acts
holy fuck,Sexual Anatomy/Sexual Acts
hooters,Sexual Anatomy/Sexual Acts
horses asses,Sexual Anatomy/Sexual Acts
j-offs,Sexual Anatomy/Sexual Acts
jack-off,Sexual Anatomy/Sexual Acts
jack-offs,Sexual Anatomy/Sexual Acts
jackarse,Sexual Anatomy/Sexual Acts
jackass,Sexual Anatomy/Sexual Acts
jackasses,Sexual Anatomy/Sexual Acts
jackoff,Sexual Anatomy/Sexual Acts
jackoffs,Sexual Anatomy/Sexual Acts
jackoffz,Sexual Anatomy/Sexual Acts
jagoff,Sexual Anatomy/Sexual Acts
jerk off,Sexual Anatomy/Sexual Acts
jerk-0ff,Sexual Anatomy/Sexual Acts
jerk-0ffs,Sexual Anatomy/Sexual Acts
jerk-off,Sexual Anatomy/Sexual Acts
jerk-offs,Sexual Anatomy/Sexual Acts
jerking off,Sexual Anatomy/Sexual Acts
jerkoff,Sexual Anatomy/Sexual Acts
jerkoff jerking off,Sexual Anatomy/Sexual Acts
jerkoffs,Sexual Anatomy/Sexual Acts
jerks off,Sexual Anatomy/Sexual Acts
kid diddler,Sexual Anatomy/Sexual Acts
kiddy touch,Sexual Anatomy/Sexual Acts
kiss ass,Sexual Anatomy/Sexual Acts
